title,notice_id,type,naics_code,set_aside,posted_date,response_deadline,flags,looks_clean,link
Clinical Data Management View and Download of Systems,f75de648cde54bed8d4855f2dcf98746,Presolicitation,541511,No Set aside used,2026-08-04,2026-08-10T09:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/f75de648cde54bed8d4855f2dcf98746/view
T-38 Virtual Reality Part Task Trainer (VRPTT) Maintenance,ab9d268776384c0da29a5f2ddd1ae2ce,Combined Synopsis/Solicitation,541511,,2026-08-04,2026-08-19T12:00:00-05:00,,YES,https://sam.gov/workspace/contract/opp/ab9d268776384c0da29a5f2ddd1ae2ce/view
Real-time Transfer Service (RTS) Additional Node,195e3ce612f24b9697a467e414d6a001,Sources Sought,541511,No Set aside used,2026-08-04,2026-08-19T13:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/195e3ce612f24b9697a467e414d6a001/view
Real Property Management System (RPMS),92622ec205c54829b3cb8c28fdf6b9d4,Sources Sought,541511,No Set aside used,2026-07-31,2026-08-03T17:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/92622ec205c54829b3cb8c28fdf6b9d4/view
Water Management Programming,02de2231401143eab33db637003a6830,Combined Synopsis/Solicitation,541511,,2026-07-31,2026-08-21T14:00:00-07:00,,YES,https://sam.gov/workspace/contract/opp/02de2231401143eab33db637003a6830/view
"VR Training System for Gas Turbine Generator - Pearl Harbor, HI",af262d595ed9495982cc497ec3b4f40d,Sources Sought,541511,Small Business Set Aside - Total,2026-07-28,2026-08-03T09:00:00-10:00,,YES,https://sam.gov/workspace/contract/opp/af262d595ed9495982cc497ec3b4f40d/view
MSC ABS Wavesight Software Customization and Sustainment Contract,3b7f0762dfce43279ad3451c2e12a970,Sources Sought,541511,,2026-07-28,2026-08-03T09:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/3b7f0762dfce43279ad3451c2e12a970/view
Datalab - Redesign and O&M,389dc05f2b4543bca9aa05b57fcf4d29,Sources Sought,541511,,2026-07-28,2026-08-27T12:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/389dc05f2b4543bca9aa05b57fcf4d29/view
Maintenance of CDC Sexually Transmitted Infections (STI) Treatment Guidelines Mobile Applications and Administrative Backend Panel,e5370913e4394c14a75361342ca214db,Presolicitation,541511,No Set aside used,2026-07-24,2026-08-07T14:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/e5370913e4394c14a75361342ca214db/view
R499--MEDICAL CODING,db1727dd73fd47308b76416b25a5949d,Sources Sought,541511,,2026-07-24,2026-07-29T12:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/db1727dd73fd47308b76416b25a5949d/view
Manufacturing Execution System,08f887b4a9fc4bada90957fd87388f06,Sources Sought,541511,,2026-07-24,2026-08-07T10:00:00-04:00,,YES,https://sam.gov/workspace/contract/opp/08f887b4a9fc4bada90957fd87388f06/view
DA01--Sole Source Miami VA Wayfinding Patient Navigation System,e8a40ce6cd1c4b56a31788a7041afdd9,Combined Synopsis/Solicitation,541511,,2026-08-04,2026-08-10T12:00:00-04:00,Sole-source (already awarded to a named vendor),NO,https://sam.gov/workspace/contract/opp/e8a40ce6cd1c4b56a31788a7041afdd9/view
DA01--Sole Source Miami VA Wayfinding Patient Navigation System,c6e448c154884cd3bba9373c874b19cd,Combined Synopsis/Solicitation,541511,,2026-08-04,2026-08-10T12:00:00-04:00,Sole-source (already awarded to a named vendor),NO,https://sam.gov/workspace/contract/opp/c6e448c154884cd3bba9373c874b19cd/view
